"sample_id","PC1","PC2","PC3","PC4","sample_id.y","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"1002",-77.2598375971006,16.5919769049429,-53.262359258123,-18.8390341167814,"1002",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1002_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1005",-53.3133148789086,-37.1544017351164,-9.63754599794747,-3.47596551611449,"1005",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1005_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1011",-33.3798487364288,-28.1945804952996,-6.95457883674714,15.5554506968111,"1011",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1011_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1032",-37.1220337716447,-22.9453928628258,-27.5684606430448,19.5580456152711,"1032",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1032_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1035",-63.2885872630435,-13.5388573875727,-14.7883610414912,-7.22328532320449,"1035",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1035_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1038",-52.1972784629378,5.63762572832428,-39.293059187054,21.1885605433248,"1038",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1038_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1041",-39.8718727519477,-39.3288972863704,-8.46849209646319,11.1371817133937,"1041",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1041_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"GREG_G_CCT_11_FAT",29.3527395665466,-16.3693924668663,-1.72095628559741,-58.5271400892212,"GREG_G_CCT_11_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_G_CCT_11_FAT_featurecounts.txt","Fat body","Gregarious","Crowded",11,"Time-course fat body phase control","Fat body: gregarious/crowded control","Gregarious crowded control","FAT-G-ctrl","FAT controls","Control","Reference","Reference sample",TRUE
"GREG_S_ICT_9_FAT",22.9528339213404,-18.8924158899973,0.404106826803969,-57.9755284362043,"GREG_S_ICT_9_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_S_ICT_9_FAT_featurecounts.txt","Fat body","Solitarious","Isolated",9,"Time-course fat body phase control","Fat body: solitarious/isolated control","Solitarious isolated control","FAT-S-ctrl","FAT controls","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-1_MERGE",99.5744149994997,13.2583278385922,6.58235173115378,9.13847359034742,"SGRE-HEAD-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-1_MERGE_featurecounts.txt","Head","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 1","H-CRD-1","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-2_MERGE",98.5092614214446,13.1699631845933,7.01608656962952,9.07053476823673,"SGRE-HEAD-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-2_MERGE_featurecounts.txt","Head","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 2","H-CRD-2","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-3_MERGE",98.8534101435708,13.4678936969228,7.50509574099222,7.92448853707897,"SGRE-HEAD-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-3_MERGE_featurecounts.txt","Head","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 3","H-CRD-3","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-4_MERGE",94.9638143853326,12.4376907827994,8.18593183520426,7.6745912741391,"SGRE-HEAD-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-4_MERGE_featurecounts.txt","Head","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 4","H-CRD-4","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-5_MERGE",100.100251832294,12.6331576460631,5.67662382554307,9.85064865834813,"SGRE-HEAD-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-5_MERGE_featurecounts.txt","Head","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 5","H-CRD-5","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-6_MERGE",100.907733814416,13.1575073046319,5.27995280277364,11.8472764440137,"SGRE-HEAD-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-6_MERGE_featurecounts.txt","Head","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 6","H-CRD-6","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-1_MERGE",89.2814732068437,8.63761340025369,7.14995254430274,14.4532769899611,"SGRE-HEAD-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-1_MERGE_featurecounts.txt","Head","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 1","H-ISO-1","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-2_MERGE",93.014481865124,9.76733711897098,6.71001668170084,11.3636833644505,"SGRE-HEAD-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-2_MERGE_featurecounts.txt","Head","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 2","H-ISO-2","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-3_MERGE",89.3547390590535,11.9151121402216,9.83267928978963,12.7982093983088,"SGRE-HEAD-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-3_MERGE_featurecounts.txt","Head","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 3","H-ISO-3","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-4_MERGE",88.905630497687,9.33214534713902,7.67328868115262,11.1591926328773,"SGRE-HEAD-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-4_MERGE_featurecounts.txt","Head","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 4","H-ISO-4","Head reference","Control","Reference","Reference sample",TRUE
