"source_class","n_genes"
"Tissue reference pattern only",559
"Phase signature only",1012
"Diet/infection DEG only",3153
"Tissue + phase",144
"Tissue + diet/infection",236
"Phase + diet/infection",199
"Tissue + phase + diet/infection",94
