"DEG_context","coordinate_class","n_degs","proportion"
"Infection within diets","Named chromosomes 1-11/X",1633,1
"Diet DEGs in controls","Named chromosomes 1-11/X",56,1
"Diet DEGs in infected","Named chromosomes 1-11/X",147,1
"Infection vs control","Named chromosomes 1-11/X",1422,1
