"intersection","n_genes"
"Infection within diets + Infection vs control",1088
"Infection within diets",430
"Infection vs control",280
"Infection within diets + Diet DEGs in infected",57
"Diet DEGs in infected",47
"Infection within diets + Diet DEGs in infected + Infection vs control",26
"Infection within diets + Diet DEGs in controls + Infection vs control",24
"Diet DEGs in controls + Diet DEGs in infected",12
"Diet DEGs in controls",11
"Infection within diets + Diet DEGs in controls",5
"Infection within diets + Diet DEGs in controls + Diet DEGs in infected + Infection vs control",2
"Diet DEGs in controls + Diet DEGs in infected + Infection vs control",1
"Diet DEGs in infected + Infection vs control",1
"Infection within diets + Diet DEGs in controls + Diet DEGs in infected",1
