diet	manuscript_reported_degs	fresh_all_locus_degs	placed_host_degs	unplaced_scaffold_degs	placed_higher_in_infected	placed_higher_in_control
33	898	1070	857	450	461	396
50	1312	1042	1116	0	742	374
83	519	654	768	0	499	269
