source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,assigned_molecule,location_type,sequence_class,contrast_id,contrast_label,figure_scope,x_label,x_order,desired_sign,positive_condition,negative_condition,workbook_lfc_col,workbook_padj_col,show_in_figure,analysis_scope,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,oriented_log2FC,status,higher_expression_condition,primary_figure,original_value,original_oriented_log2FC,original_status
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,8,Chromosome,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Placed/host-assigned,133.5889195247154,-1.081047505573511,0.3854928759759662,-2.8043255088348493,0.00504219716717327,0.2127654410693572,FALSE,1.081047505573511,N.S.,Not significant,TRUE,-1.0589999999999999,1.059,Upregulated
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291966,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,9,Chromosome,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Placed/host-assigned,38.15359715602787,-1.6821313598563838,0.6397402877222195,-2.6293972603250824,0.00855363736584835,0.06260839025861385,FALSE,-1.6821313598563838,N.S.,Not significant,TRUE,-1.6759999999999999,-1.676,Downregulated
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272143,cytochrome P450 6k1-like,cytochrome P450 6k1-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,5,Chromosome,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,"83
vs
33",2,1,Control diet 83,Control diet 33,cont83 vs cont33_log2FC,cont83 vs cont33_padj,FALSE,Placed/host-assigned,19.5677147278287,2.5536589011623287,0.9040290921320384,2.8247530122507967,0.00473170743237047,0.43117506799155514,FALSE,2.5536589011623287,N.S.,Not significant,TRUE,2.6190000000000002,2.619,Upregulated
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272799,probable cytochrome P450 6a14,probable cytochrome P450 6a14,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,5,Chromosome,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Placed/host-assigned,6.11384059033448,-4.443680122754533,1.5377441655090656,-2.889739543432744,0.00385561129702293,0.18199792308828625,FALSE,4.443680122754533,N.S.,Not significant,TRUE,-4.4260000000000002,4.426,Upregulated
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126281508,probable cytochrome P450 6a13,probable cytochrome P450 6a13,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,7,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,7.586065066312889,4.844377965782311,1.7732385935058876,2.731938038977847,0.00629629808392672,0.04134637277949968,TRUE,4.844377965782311,Upregulated,Infected diet 50,TRUE,N.S.,,N.S.
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126336322,defensin-like,defensin-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,2,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,,,,,,,,FALSE,,N.S.,Not significant,TRUE,3.8180000000000001,3.818,Upregulated
Immune,Humoral Immunity,Lytic Enzymes,LOC126271975,lysozyme-like,lysozyme-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,5,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,1896.2259918230425,5.625017193184203,1.0178967797773892,5.526117485521838,3.2739493572235304e-8,8.298768166339974e-6,TRUE,5.625017193184203,Upregulated,Infected diet 83,TRUE,N.S.,,N.S.
Immune,Humoral Immunity,Lytic Enzymes,LOC126272361,lysozyme-like,lysozyme-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,5,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,203.31784793669428,1.5803976599893672,0.6923762574990904,2.2825705573698754,0.0224556769166888,0.09749254098719448,FALSE,1.5803976599893672,N.S.,Not significant,TRUE,1.573,1.573,Upregulated
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126293579,melanization protease 1-like,melanization protease 1-like,protein_coding,NC_064929.1,Chromosome10,assembled-molecule,10,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,34.03937549438108,3.460428189625046,0.881963674525331,3.92354956284048,8.72538047771622e-5,0.00277716395776453,TRUE,3.460428189625046,Upregulated,Infected diet 83,TRUE,N.S.,,N.S.
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126266672,cytokine receptor-like,cytokine receptor-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,4,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,1063.8653018125588,1.1538794646114765,0.3789823011685319,3.044679028687281,0.00232928751260805,0.02756419235921077,TRUE,1.1538794646114765,Upregulated,Infected diet 83,TRUE,N.S.,,N.S.
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126284043,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,18.66289236143688,1.9519320523826784,0.6187562949572804,3.1546055665056985,0.00160715222968554,0.02119584837572679,TRUE,1.9519320523826784,Upregulated,Infected diet 83,TRUE,N.S.,,N.S.
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126268068,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,4,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,186.44481079289872,1.1400531949276522,0.4059219327294603,2.808552834930152,0.00497647158042415,0.04600977054804112,TRUE,1.1400531949276522,Upregulated,Infected diet 83,TRUE,N.S.,,N.S.
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126295201,ankyrin repeat and SOCS box protein 16-like,ankyrin repeat and SOCS box protein 16-like,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,11,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,27.087796301715112,1.9701637908819911,0.8256101938309223,2.386312336746006,0.01701829057342364,0.08150634436282861,FALSE,1.9701637908819911,N.S.,Not significant,TRUE,2.0110000000000001,2.011,Upregulated
