"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
998,"LOC126324086","uncharacterized LOC126324086","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.22718351572151,8.78833837496661e-10,1.83492696053368,"1029","Lower than gene mean"
999,"LOC126341869","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.01740645140634,2.22103688698614e-06,1.99403563461069,"1029","Lower than gene mean"
1000,"LOC126274965","ester hydrolase C11orf54 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.27098132448893,8.06215800265489e-06,1.93335157066343,"1016","Lower than gene mean"
1001,"LOC126281694","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.24909921487082,1.69123603103585e-08,1.73561192953667,"1016","Lower than gene mean"
1002,"LOC126336473","dehydrogenase/reductase SDR family member 11-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.80775314428601,1.63186459888873e-07,2.20943695494758,"1006","Higher than gene mean"
1003,"LOC126283957","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.19266020931517,1.10759337008669e-08,2.0778276076807,"1058","Lower than gene mean"
1004,"LOC126284765","serine protease inhibitor I/II-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.13343899484528,0.000141381798911453,1.94436398894043,"1058","Lower than gene mean"
1005,"LOC126284367","protease inhibitors-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.78823992570518,0.000582010218120454,2.40460748385533,"1057","Lower than gene mean"
1006,"LOC126357545","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.47239745902951,9.1901035283674e-05,2.30517773183542,"1015","Lower than gene mean"
1007,"LOC126299365","bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet83_vs33","Infected diet 83",1.47413646213127,0.0235293801275139,2.43978681033404,"1038","Higher than gene mean"
