"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
1,"LOC126267253","endoplasmic reticulum chaperone BiP-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60565556482405,0.0027879248024667,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
2,"LOC126272567","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.22328760318891,0.029048000452434,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
3,"LOC126334751","uncharacterized LOC126334751","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.52644447182492,0.00216183887753808,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
4,"LOC126355919","uncharacterized LOC126355919","lncRNA","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.36971914751822,0.0120340773456884,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
5,"LOC126334706","sodium-dependent nutrient amino acid transporter 1-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.36651136155922,0.0437654257436386,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
6,"LOC126285032","uncharacterized LOC126285032","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.32441391622021,0.0425948596042985,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
7,"LOC126354448","uncharacterized LOC126354448","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.83776660223079,0.00149654139136232,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
8,"LOC126291956","cuticle protein 6.4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.87151463104306,0.00464001909509211,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
9,"LOC126284457","endocuticle structural glycoprotein SgAbd-9","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.7443399022814,0.0021978366783329,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
10,"LOC126284147","uncharacterized LOC126284147","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.36784807754847,0.00950371861550754,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
11,"LOC126334802","cuticle protein 19.8-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.70696755173202,0.0389991559497407,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
12,"LOC126324229","uncharacterized LOC126324229","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.71925292994506,0.0133964206507756,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
13,"LOC126334857","probable multidrug resistance-associated protein lethal(2)03659","protein_coding","Infection within diet","infection_diet50; interaction_diet83_vs50","Control diet 50; Infection response diet 83",2.31716223687665,0.00301128174756969,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
14,"LOC126291743","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.78933409764354,0.000156654321251944,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
15,"LOC126335593","uncharacterized LOC126335593","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.41315616349018,1.71108912205556e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
16,"LOC126284556","uncharacterized LOC126284556","lncRNA","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.68660451046242,7.07758041373263e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
17,"LOC126278678","headcase protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.20167121346506,2.19676988283311e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
18,"LOC126322885","uncharacterized LOC126322885","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.56077196754546,2.9359270267245e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
19,"LOC126283961","aquaporin AQPAn.G-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.52580733523376,1.18307832758073e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
20,"LOC126356215","cholinesterase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11779811240593,2.62463957964031e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
21,"LOC126281562","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.67639811977324,1.2901651155649e-11,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
22,"LOC126282155","uncharacterized LOC126282155","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.08043414201676,0.000229170001923611,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
23,"LOC126297494","glucose-6-phosphate 1-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
24,"LOC126335256","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40360109828935,2.82064564088596e-16,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
25,"LOC126327822","larval cuticle protein LCP-22-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.10185250089755,8.02305701354522e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
26,"LOC126336858","protein atonal","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.2021584806435,1.13760930438681e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
27,"LOC126272046","thrombospondin type-1 domain-containing protein 4","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37074730941769,8.51996893450314e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
28,"LOC126299171","serine/threonine-protein kinase NIM1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.88158162868791,1.32603199274247e-17,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
29,"LOC126330497","G-protein coupled receptor GRL101-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11584489480711,1.27414262132865e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
30,"LOC126273784","uncharacterized LOC126273784","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.09804141145082,6.32313436481919e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
31,"LOC126354407","juvenile hormone esterase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.47943696267493,1.40915265667595e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
32,"LOC126268175","opioid-binding protein/cell adhesion molecule homolog","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.13223427896712,3.15740770889323e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
33,"LOC126284812","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.36003704359695,1.51881628831467e-13,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
34,"LOC126355923","uncharacterized LOC126355923","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.44057776599288,0.0282358325057704,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
35,"LOC126281297","uncharacterized LOC126281297","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.47316837694826,1.55664808838089e-11,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
36,"LOC126281302","uncharacterized LOC126281302","lncRNA","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",5.09694173922851,4.5573153444394e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
37,"LOC126322655","inositol polyphosphate multikinase-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.05053239464198,1.16015985768356e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
38,"LOC126335258","galactoside alpha-(1,2)-fucosyltransferase 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.19314651674062,0.0108929926434016,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
39,"LOC126266596","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.41900141352957,2.66012354018331e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
40,"LOC126270294","beta-1,3-glucan-binding protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.79131248180832,2.38410664696868e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
41,"LOC126335345","neuroligin-2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24414583685329,8.60000976208179e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
42,"LOC126336041","uncharacterized LOC126336041","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.08345658448241,0.0123077820576944,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
43,"LOC126336562","uncharacterized LOC126336562","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.44725837117044,1.88014730225137e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
44,"LOC126346564","transient receptor potential cation channel protein painless-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.07630290757808,0.00116277657514883,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
45,"LOC126272251","monocarboxylate transporter 9","protein_coding","Infection within diet","infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.20185127310608,0.00246311318116167,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
46,"LOC126295382","ankyrin repeat and SOCS box protein 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.53874815143331,0.0100509583703565,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
47,"LOC126282450","uncharacterized LOC126282450","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.22867766387358,0.0159439619373101,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
