"canonical_gene_order","gene_id","heatmap_row_order","original_branch","original_pheatmap_cluster_id","original_within_cluster_order","proposed_merged_cluster","Description","gene_biotype","DEG_context","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","n_GO_annotations","n_KEGG_annotations"
1,"LOC126267253",1,"Branch 1",2,1,"DEG cluster 1","endoplasmic reticulum chaperone BiP-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60565556482405,0.0027879248024667,2.01790683643873,"1006","Higher than gene mean",1,1
2,"LOC126272567",2,"Branch 1",2,2,"DEG cluster 1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.22328760318891,0.029048000452434,2.19008978136573,"1027","Higher than gene mean",1,1
3,"LOC126334751",3,"Branch 1",2,3,"DEG cluster 1","uncharacterized LOC126334751","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.52644447182492,0.00216183887753808,2.19832221602185,"1021","Higher than gene mean",0,0
4,"LOC126355919",4,"Branch 1",2,4,"DEG cluster 1","uncharacterized LOC126355919","lncRNA","Infection within diet",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.36971914751822,0.0120340773456884,2.85570220421172,"1007","Higher than gene mean",0,0
5,"LOC126334706",5,"Branch 1",2,5,"DEG cluster 1","sodium-dependent nutrient amino acid transporter 1-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.36651136155922,0.0437654257436386,2.48375664595165,"1002","Higher than gene mean",0,0
6,"LOC126285032",6,"Branch 1",2,6,"DEG cluster 1","uncharacterized LOC126285032","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.32441391622021,0.0425948596042985,2.44114931318436,"1002","Higher than gene mean",0,0
7,"LOC126354448",7,"Branch 1",2,7,"DEG cluster 1","uncharacterized LOC126354448","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.83776660223079,0.00149654139136232,3.18924817303455,"1007","Higher than gene mean",1,0
8,"LOC126291956",8,"Branch 1",2,8,"DEG cluster 1","cuticle protein 6.4-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.87151463104306,0.00464001909509211,2.52645486152737,"1033","Higher than gene mean",0,0
9,"LOC126284457",9,"Branch 1",2,9,"DEG cluster 1","endocuticle structural glycoprotein SgAbd-9","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.7443399022814,0.0021978366783329,2.53833044367729,"1011","Higher than gene mean",0,0
10,"LOC126284147",10,"Branch 1",2,10,"DEG cluster 1","uncharacterized LOC126284147","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.36784807754847,0.00950371861550754,3.14062833520404,"1011","Higher than gene mean",0,0
11,"LOC126334802",11,"Branch 1",2,11,"DEG cluster 1","cuticle protein 19.8-like","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.70696755173202,0.0389991559497407,2.64855895913856,"1007","Higher than gene mean",0,0
