"foreground_set","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126268148","cell division control protein 6 homolog","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.15928406301494,0.00112220241475932
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126272178","uncharacterized LOC126272178","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126272438","DNA replication licensing factor Mcm2","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.24836305878309,0.00161040930090975
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126272470","mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126272743","G2/mitotic-specific cyclin-B-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126279120","cyclin-dependent kinase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24963032361404,6.81240427576595e-06
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126281636","cyclin-A2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.13627578952732,2.9438391858481e-05
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126282371","cyclin-dependent kinase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.48770128926056,0.000199045717914092
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126284030","proliferating cell nuclear antigen","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.37894306875881,9.62654297982929e-10
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126284276","mitotic spindle assembly checkpoint protein MAD2A","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.80462812607373,2.22136152349538e-08
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126284310","wee1-like protein kinase","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.26160016578104,0.00010975245102783
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126293483","DNA replication licensing factor Mcm6","protein_coding","Infection within diet","infection_diet33; infection_diet50","Control diet 33; Control diet 50",1.07994397420712,0.00070959457579038
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126326589","ovarian-specific serine/threonine-protein kinase Lok-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.15652404607307,5.96722101702558e-06
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126334974","transcription factor E2F6-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.0620996313418,0.000144168741108251
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126335501","serine/threonine-protein kinase polo","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.17892512588517,3.23578719368072e-06
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126336750","DNA replication licensing factor Mcm7","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.43589553843751,3.71440993881116e-08
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126354268","separin","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.31745607345249,7.3911763036505e-05
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126354850","G1/S-specific cyclin-D2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.16618793937707,0.00767982077699183
