"gene_id","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","phase_class","n_context_families","single_context","DEG_context","Description","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","heatmap_row_order"
"LOC126299171",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.88158162868791,1.32603199274247e-17,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","serine/threonine-protein kinase NIM1-like",1.91330740838566,"1036","Higher than gene mean",28
"LOC126330497",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11584489480711,1.27414262132865e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","G-protein coupled receptor GRL101-like",2.17391383369646,"1004","Higher than gene mean",29
"LOC126273784",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.09804141145082,6.32313436481919e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126273784",1.74843910438027,"1023","Lower than gene mean",30
"LOC126354407",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.47943696267493,1.40915265667595e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","juvenile hormone esterase-like",2.26663150658919,"1057","Lower than gene mean",31
"LOC126268175",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.13223427896712,3.15740770889323e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","opioid-binding protein/cell adhesion molecule homolog",2.15443882920664,"1023","Lower than gene mean",32
"LOC126284812",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.36003704359695,1.51881628831467e-13,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glucose dehydrogenase [FAD, quinone]-like",2.16117316069129,"1023","Lower than gene mean",33
"LOC126355923",1,"infection_diet50","Control diet 50",1.44057776599288,0.0282358325057704,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126355923",2.60997551611346,"1016","Lower than gene mean",34
"LOC126281297",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.47316837694826,1.55664808838089e-11,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126281297",2.39152209539727,"1004","Higher than gene mean",35
"LOC126281302",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",5.09694173922851,4.5573153444394e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126281302",1.63218235563742,"1034","Higher than gene mean",36
"LOC126322655",1,"infection_diet33","Control diet 33",1.05053239464198,1.16015985768356e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","inositol polyphosphate multikinase-like",2.46836656997433,"1016","Lower than gene mean",37
"LOC126335258",1,"infection_diet50","Control diet 50",1.19314651674062,0.0108929926434016,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","galactoside alpha-(1,2)-fucosyltransferase 2-like",2.1582842584207,"1058","Lower than gene mean",38
"LOC126266596",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.41900141352957,2.66012354018331e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",2.46237461259941,"1002","Higher than gene mean",39
"LOC126270294",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.79131248180832,2.38410664696868e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","beta-1,3-glucan-binding protein-like",2.39544055988229,"1058","Lower than gene mean",40
"LOC126335345",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24414583685329,8.60000976208179e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","neuroligin-2-like",2.62059017573793,"1029","Lower than gene mean",41
"LOC126336041",1,"infection_diet33","Control diet 33",1.08345658448241,0.0123077820576944,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336041",3.02891667625801,"1029","Lower than gene mean",42
"LOC126336562",1,"infection_diet50","Control diet 50",1.44725837117044,1.88014730225137e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336562",2.44270399824982,"1058","Lower than gene mean",43
"LOC126346564",1,"infection_diet50","Control diet 50",1.07630290757808,0.00116277657514883,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","transient receptor potential cation channel protein painless-like",2.78839912076905,"1058","Lower than gene mean",44
"LOC126272251",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.20185127310608,0.00246311318116167,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","monocarboxylate transporter 9",2.26360553777325,"1011","Higher than gene mean",45
"LOC126295382",1,"infection_diet50","Control diet 50",1.53874815143331,0.0100509583703565,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ankyrin repeat and SOCS box protein 2-like",2.55417192452639,"1058","Lower than gene mean",46
"LOC126282450",1,"infection_diet50","Control diet 50",1.22867766387358,0.0159439619373101,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126282450",1.9106614488606,"1006","Higher than gene mean",47
"LOC126268019",1,"infection_diet50","Control diet 50",1.29294782364093,0.00585535088363569,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126268019",2.07325789239458,"1002","Higher than gene mean",48
"LOC126281521",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.83376848567483,0.000189796693171454,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126281521",2.1421696122387,"1006","Higher than gene mean",49
"LOC126284429",1,"infection_diet50","Control diet 50",1.09849414991047,0.0011372240231054,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","IQ motif and SEC7 domain-containing protein 2",2.84628416225074,"1023","Lower than gene mean",50
"LOC126266958",1,"infection_diet33","Control diet 33",1.08827875891238,0.0107854454626546,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126266958",2.87117009603832,"1023","Lower than gene mean",51
"LOC126297734",1,"infection_diet50","Control diet 50",1.09258101528999,0.0133908995123421,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","epidermal growth factor receptor kinase substrate 8-like protein 2",2.620502548154,"1023","Lower than gene mean",52
"LOC126281354",1,"infected_diet83_vs50","Infected diet 83",1.07007523417672,0.0335978142735041,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","mucin-5AC-like",2.82110087857667,"1023","Lower than gene mean",53
"LOC126353822",4,"infected_diet83_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 83",2.20509553244,8.94600258977678e-05,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","uncharacterized LOC126353822",2.23072270386021,"1016","Lower than gene mean",54
"LOC126272080",1,"infection_diet50","Control diet 50",1.29722107646484,0.0068086232378212,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","arrestin domain-containing protein 17",2.74556593743598,"1002","Higher than gene mean",55
"LOC126282335",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.27889052525601,9.05363302357654e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126282335",2.09244342721033,"1002","Higher than gene mean",56
"LOC126345263",1,"infection_diet50","Control diet 50",1.30769246612182,4.52385022755708e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","peroxisomal acyl-coenzyme A oxidase 3",2.34287352983069,"1016","Lower than gene mean",57
"LOC126298594",1,"infection_diet50","Control diet 50",1.14950796068145,0.00323577400715652,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","phospholipase A2 inhibitor beta",2.72740652568219,"1016","Lower than gene mean",58
"LOC126334637",1,"infection_diet50","Control diet 50",1.31914824533548,0.00114476490146617,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","calpain-9-like",2.22135260099422,"1023","Lower than gene mean",59
"LOC126284016",1,"infection_diet50","Control diet 50",1.3388941385565,0.00386307642393026,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","nucleoredoxin-like",2.1621683643289,"1023","Lower than gene mean",60
"LOC126354218",1,"infection_diet50","Control diet 50",1.23100984230409,0.000400167966695454,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","partitioning defective 3 homolog",2.81457719069118,"1023","Lower than gene mean",61
"LOC126284250",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.762297605187,0.000135087130568797,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126284250",2.7065982510608,"1023","Lower than gene mean",62
"LOC126279923",1,"infection_diet50","Control diet 50",1.12641385498733,0.0394695746757569,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","RNA-binding protein 24-B-like",2.65579762388779,"1023","Lower than gene mean",63
"LOC126278455",1,"infection_diet50","Control diet 50",1.07951115555301,0.0295386392755277,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","E3 ubiquitin-protein ligase TRIM9",2.61997923382907,"1057","Lower than gene mean",64
"LOC126336873",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.75835698935078,0.0121398602258969,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","enhancer of split mbeta protein-like",2.16182912049454,"1057","Lower than gene mean",65
"LOC126355724",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.8100023492877,5.45590128735863e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126355724",2.34843344716092,"1023","Lower than gene mean",66
"LOC126281296",1,"infection_diet50","Control diet 50",1.27542024030873,0.000249055928811662,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","rap guanine nucleotide exchange factor 6-like",2.1286398155417,"1058","Lower than gene mean",67
"LOC126355586",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.121091860715,0.000208715901304949,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","cGMP-dependent protein kinase, isozyme 1",2.50211599670253,"1057","Lower than gene mean",68
"LOC126298299",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58202640143038,0.000131367816948864,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","Krueppel-like factor 2",2.42957892369538,"1023","Lower than gene mean",69
"LOC126365770",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.08669961137687,4.14714040260543e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","golgin subfamily A member 6-like protein 7",2.22357101205976,"1036","Higher than gene mean",70
"LOC126281299",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.9838229793652,2.48776523359449e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126281299",1.90780866860298,"1036","Higher than gene mean",71
"LOC126281915",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.87963877716047,6.09315971390706e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126281915",2.57932336384692,"1023","Lower than gene mean",72
"LOC126297795",1,"infection_diet50","Control diet 50",1.03095911431021,6.00967530987156e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126297795",2.88635182772077,"1016","Lower than gene mean",73
"LOC126336201",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.00044516753309,1.78537840397418e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336201",2.35579199551189,"1016","Lower than gene mean",74
"LOC126349273",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.36312846531522,3.90961834784952e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126349273",2.42136794508023,"1027","Lower than gene mean",75
"LOC126336692",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.48431987588218,3.23578719368072e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glutathione S-transferase-like",1.90466731432497,"1054","Lower than gene mean",76
"LOC126334946",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69367236947258,3.57534582789594e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","RNA-binding protein Musashi homolog 2",2.02944533803888,"1023","Lower than gene mean",77
"LOC126336337",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69673131985894,7.40694260540137e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","protein charybde-like",1.93006470052037,"1057","Lower than gene mean",78
"LOC126283954",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.39139793758045,4.14928664485693e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","macrophage migration inhibitory factor homolog",2.44587475922571,"1023","Lower than gene mean",79
"LOC126299549",1,"infection_diet83","Control diet 83",1.07599719158087,7.72792187694191e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",2.45760021847517,"1038","Higher than gene mean",80
"LOC126336244",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.32262780894186,7.61352132091513e-20,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","acetyl-CoA acetyltransferase, mitochondrial",1.9927708650803,"1023","Lower than gene mean",81
"LOC126272450",1,"infection_diet50","Control diet 50",1.05422237569257,0.0303487839577882,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized oxidoreductase YjmC-like",2.62686559246677,"1023","Lower than gene mean",82
"LOC126278095",1,"infection_diet50","Control diet 50",1.20305079687899,0.00113896154553283,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","epidermal retinol dehydrogenase 2-like",2.5154646063298,"1023","Lower than gene mean",83
"LOC126284231",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.36693790334992,5.11979828209906e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126284231",1.9874939838145,"1027","Lower than gene mean",84
"LOC126336695",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.62375771998625,1.66336646657934e-14,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glutathione S-transferase-like",2.19244125086076,"1023","Lower than gene mean",85
"LOC126271850",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.56741716742159,2.89816288930328e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126271850",3.12474856736169,"1023","Lower than gene mean",86
"LOC126273129",1,"infection_average_all_diets","Average control",1.3420271741391,0.00572449619384393,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ejaculatory bulb-specific protein 3-like",2.03667919914879,"1016","Lower than gene mean",87
"LOC126272375",1,"infection_average_all_diets","Average control",1.18601866361145,0.0131096712857854,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","DNA repair protein XRCC2-like",1.83566299709046,"1038","Higher than gene mean",88
"LOC126284218",1,"infection_diet83","Control diet 83",1.27900084334722,0.0380817901119205,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","phenoloxidase 1-like",1.92098302699106,"1054","Lower than gene mean",89
"LOC126272158",1,"infection_average_all_diets","Average control",1.19819671034577,0.00962632103370924,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","retinol-binding protein pinta-like",2.11089715919697,"1009","Higher than gene mean",90
"LOC126272024",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.99639262075416,0.000158157263001079,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","retinol-binding protein pinta-like",1.59852806840635,"1016","Lower than gene mean",91
"LOC126272156",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.83710203874215,0.000786953439442939,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","retinol-binding protein pinta-like",2.0496857395767,"1016","Lower than gene mean",92
"LOC126323251",1,"infection_diet50","Control diet 50",1.24759541105448,0.00783282721494655,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",2.18524569118808,"1037","Higher than gene mean",93
"LOC126272370",1,"infection_diet50","Control diet 50",1.01021502032438,0.0174012068810647,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","GATOR complex protein NPRL2-like",2.33710896425674,"1029","Lower than gene mean",94
"LOC126336874",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58060475379542,6.03254291569339e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336874",2.43272764893163,"1029","Lower than gene mean",95
"LOC126336875",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.80135562081432,2.83071338722607e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","enhancer of split mbeta protein-like",2.02647234195091,"1029","Lower than gene mean",96
"LOC126266657",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glucose 6-dehydrogenase",2.78253431138757,"1030","Higher than gene mean",97
"LOC126336531",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.84735008544998,0.00846562271945208,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","proline-rich protein 2-like",2.38841083118019,"1006","Higher than gene mean",98
"LOC126336529",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.64526112377247,8.4422756920726e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","proline-rich protein 2-like",2.06140618793575,"1006","Higher than gene mean",99
"LOC126336539",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.67473353426754,1.21682562287698e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","proline-rich protein 2-like",2.38141322386479,"1006","Higher than gene mean",100
"LOC126336538",5,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",4.27373302971053,4.58163863540465e-13,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","proline-rich protein 2-like",2.14695984021652,"1006","Higher than gene mean",101
