"gene_id","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","phase_class","n_context_families","single_context","DEG_context","Description","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","heatmap_row_order"
"LOC126267253",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60565556482405,0.0027879248024667,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","endoplasmic reticulum chaperone BiP-like",2.01790683643873,"1006","Higher than gene mean",1
"LOC126272567",1,"infection_diet50","Control diet 50",1.22328760318891,0.029048000452434,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",2.19008978136573,"1027","Higher than gene mean",2
"LOC126334751",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.52644447182492,0.00216183887753808,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126334751",2.19832221602185,"1021","Higher than gene mean",3
"LOC126355919",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.36971914751822,0.0120340773456884,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126355919",2.85570220421172,"1007","Higher than gene mean",4
"LOC126334706",1,"infection_diet50","Control diet 50",1.36651136155922,0.0437654257436386,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sodium-dependent nutrient amino acid transporter 1-like",2.48375664595165,"1002","Higher than gene mean",5
"LOC126285032",1,"infection_diet50","Control diet 50",1.32441391622021,0.0425948596042985,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126285032",2.44114931318436,"1002","Higher than gene mean",6
"LOC126354448",1,"infection_diet50","Control diet 50",1.83776660223079,0.00149654139136232,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126354448",3.18924817303455,"1007","Higher than gene mean",7
"LOC126291956",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.87151463104306,0.00464001909509211,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","cuticle protein 6.4-like",2.52645486152737,"1033","Higher than gene mean",8
"LOC126284457",1,"infection_average_all_diets","Average control",1.7443399022814,0.0021978366783329,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","endocuticle structural glycoprotein SgAbd-9",2.53833044367729,"1011","Higher than gene mean",9
"LOC126284147",1,"infection_average_all_diets","Average control",1.36784807754847,0.00950371861550754,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126284147",3.14062833520404,"1011","Higher than gene mean",10
"LOC126334802",1,"infection_average_all_diets","Average control",1.70696755173202,0.0389991559497407,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","cuticle protein 19.8-like",2.64855895913856,"1007","Higher than gene mean",11
"LOC126324229",1,"infection_diet50","Control diet 50",1.71925292994506,0.0133964206507756,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126324229",2.89970399786786,"1016","Lower than gene mean",12
"LOC126334857",2,"infection_diet50; interaction_diet83_vs50","Control diet 50; Infection response diet 83",2.31716223687665,0.00301128174756969,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","probable multidrug resistance-associated protein lethal(2)03659",2.65400278160277,"1007","Higher than gene mean",13
"LOC126291743",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.78933409764354,0.000156654321251944,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glucosyltransferase 2-like",2.82085125093903,"1036","Higher than gene mean",14
"LOC126335593",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.41315616349018,1.71108912205556e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126335593",2.32441389558487,"1002","Higher than gene mean",15
"LOC126284556",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.68660451046242,7.07758041373263e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126284556",2.80570765896351,"1057","Lower than gene mean",16
"LOC126278678",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.20167121346506,2.19676988283311e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","headcase protein-like",2.59984166627876,"1057","Lower than gene mean",17
"LOC126322885",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.56077196754546,2.9359270267245e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126322885",1.82907490401193,"1054","Lower than gene mean",18
"LOC126283961",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.52580733523376,1.18307832758073e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","aquaporin AQPAn.G-like",2.42127055007462,"1058","Lower than gene mean",19
"LOC126356215",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11779811240593,2.62463957964031e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","cholinesterase-like",2.05750969108425,"1057","Lower than gene mean",20
"LOC126281562",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.67639811977324,1.2901651155649e-11,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glucosyltransferase 2-like",2.60363631007609,"1023","Lower than gene mean",21
"LOC126282155",1,"infection_diet50","Control diet 50",1.08043414201676,0.000229170001923611,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126282155",2.03654311466152,"1023","Lower than gene mean",22
"LOC126297494",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glucose-6-phosphate 1-dehydrogenase",1.73235629177823,"1050","Lower than gene mean",23
"LOC126335256",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40360109828935,2.82064564088596e-16,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",1.76072146640584,"1023","Lower than gene mean",24
"LOC126327822",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.10185250089755,8.02305701354522e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","larval cuticle protein LCP-22-like",2.48618385383611,"1002","Higher than gene mean",25
"LOC126336858",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.2021584806435,1.13760930438681e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","protein atonal",2.30952717049254,"1002","Higher than gene mean",26
"LOC126272046",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37074730941769,8.51996893450314e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","thrombospondin type-1 domain-containing protein 4",2.17797311135615,"1002","Higher than gene mean",27
