"expression_cluster","database","background","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","p.adjust","Count","DEG_gene_IDs","DEG_gene_descriptions","DEG_contexts"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",0.0139747860154543,19,"LOC126268148; LOC126272178; LOC126272438; LOC126272470; LOC126272743; LOC126279120; LOC126281636; LOC126282371; LOC126284030; LOC126284276; LOC126284310; LOC126293483; LOC126326589; LOC126334974; LOC126335501; LOC126336750; LOC126354268; LOC126354850; LOC126355755","cell division control protein 6 homolog; cyclin-A2-like; cyclin-dependent kinase 1-like; DNA replication licensing factor Mcm2; DNA replication licensing factor Mcm6; DNA replication licensing factor Mcm7; G1/S-specific cyclin-D2-like; G2/mitotic-specific cyclin-B-like; mitotic checkpoint serine/threonine-protein kinase BUB1-like; mitotic spindle assembly checkpoint protein MAD2A; origin recognition complex subunit 2; ovarian-specific serine/threonine-protein kinase Lok-like; proliferating cell nuclear antigen; separin; serine/threonine-protein kinase polo; transcription factor E2F6-like; uncharacterized LOC126272178; wee1-like protein kinase","Infection within diet"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Genetic information processing","Core metabolism or cross-domain","ko03030","DNA replication","9/275","9/698",0.0227909155081836,9,"LOC126267081; LOC126272438; LOC126284030; LOC126284296; LOC126293483; LOC126335359; LOC126335481; LOC126336750; LOC126359832","DNA polymerase alpha catalytic subunit; DNA polymerase epsilon catalytic subunit 1; DNA polymerase epsilon subunit 2; DNA primase large subunit; DNA replication ATP-dependent helicase/nuclease DNA2; DNA replication licensing factor Mcm2; DNA replication licensing factor Mcm6; DNA replication licensing factor Mcm7; proliferating cell nuclear antigen","Infection within diet"
