sample_id	source	treatment	diet	abundance_format	abundance_file	kraken_report
1024	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1024.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1024.kraken2.report
1024	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1024.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1024.kraken2.report
1024	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1024.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1024.kraken2.report
1025	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1025.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1025.kraken2.report
1025	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1025.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1025.kraken2.report
1025	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1025.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1025.kraken2.report
1027	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1027.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1027.kraken2.report
1027	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1027.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1027.kraken2.report
1027	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1027.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1027.kraken2.report
1028	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1028.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1028.kraken2.report
1028	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1028.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1028.kraken2.report
1028	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1028.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1028.kraken2.report
1029	all_trimmed	Infected	83	bracken	data/derived/taxonomy/main44/all_trimmed/1029.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1029.kraken2.report
1029	competitive_unmapped	Infected	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1029.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1029.kraken2.report
1029	host_unmapped	Infected	83	bracken	data/derived/taxonomy/main44/host_unmapped/1029.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1029.kraken2.report
1030	all_trimmed	Control	33	bracken	data/derived/taxonomy/main44/all_trimmed/1030.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1030.kraken2.report
1030	competitive_unmapped	Control	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1030.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1030.kraken2.report
1030	host_unmapped	Control	33	bracken	data/derived/taxonomy/main44/host_unmapped/1030.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1030.kraken2.report
1031	all_trimmed	Control	50	bracken	data/derived/taxonomy/main44/all_trimmed/1031.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1031.kraken2.report
1031	competitive_unmapped	Control	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1031.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1031.kraken2.report
1031	host_unmapped	Control	50	bracken	data/derived/taxonomy/main44/host_unmapped/1031.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1031.kraken2.report
1032	all_trimmed	Control	83	bracken	data/derived/taxonomy/main44/all_trimmed/1032.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1032.kraken2.report
