"label","total_counts","Diet","Treatment"
"1002",3619696,"83","Control"
"1003",3959991,"33","Control"
"1004",4892606,"50","Control"
"1005",3987968,"83","Control"
"1006",4055006,"33","Control"
"1007",4420108,"50","Control"
"1009",3938506,"33","Control"
"1011",2947351,"83","Control"
"1014",2348090,"83","Infected"
"1015",2712667,"33","Infected"
"1016",2137727,"50","Infected"
"1018",8167578,"33","Infected"
"1020",4694903,"83","Infected"
"1021",5676234,"33","Infected"
"1023",1896233,"83","Infected"
"1024",2960211,"83","Infected"
"1025",5436525,"50","Infected"
"1027",2664344,"33","Infected"
"1028",4534023,"50","Infected"
"1029",4763663,"83","Infected"
"1030",9487370,"33","Control"
"1031",5534103,"50","Control"
"1032",5248437,"83","Control"
"1033",8112863,"33","Control"
"1034",6169956,"50","Control"
"1035",6222448,"83","Control"
"1036",6246544,"33","Control"
"1037",7525807,"50","Control"
"1038",5354704,"83","Control"
"1039",5784303,"33","Control"
"1040",3796367,"50","Control"
"1041",3134482,"83","Control"
"1042",3870392,"33","Infected"
"1043",4346202,"50","Infected"
"1045",4125462,"33","Infected"
"1046",3991118,"50","Infected"
"1049",4386447,"50","Infected"
"1050",4014396,"83","Infected"
"1051",3857925,"33","Infected"
"1052",3341685,"50","Infected"
"1054",3927653,"33","Infected"
"1055",4271527,"50","Infected"
"1057",4530398,"33","Infected"
"1058",2451541,"50","Infected"
