source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Diet comparison among infected,"83
vs
50",3,N.S.,19,100,19,0.3101344932753362,N.S.D.
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,33,1,N.S.,12,63.1578947368421,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,33,1,Upregulated,7,36.8421052631579,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,50,2,Downregulated,2,10.526315789473685,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,50,2,N.S.,3,15.789473684210526,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,50,2,Upregulated,14,73.6842105263158,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,83,3,Downregulated,1,5.2631578947368425,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,83,3,N.S.,10,52.63157894736842,19,0.028848557572121392,p = 0.029
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Within-diet infection response,83,3,Upregulated,8,42.10526315789474,19,0.028848557572121392,p = 0.029
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,"50
vs
33",1,N.S.,2,100,2,,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,"83
vs
33",2,N.S.,2,100,2,,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,"83
vs
50",3,N.S.,2,100,2,,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,33,1,N.S.,1,50,2,1,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,33,1,Upregulated,1,50,2,1,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,50,2,Downregulated,1,50,2,1,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,50,2,Upregulated,1,50,2,1,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,83,3,Downregulated,1,50,2,1,N.S.D.
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,83,3,Upregulated,1,50,2,1,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"50
vs
33",1,N.S.,8,100,8,1,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
33",2,Downregulated,1,12.5,8,1,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
33",2,N.S.,7,87.5,8,1,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
50",3,N.S.,8,100,8,1,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,33,1,Downregulated,2,25,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,33,1,N.S.,5,62.5,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,33,1,Upregulated,1,12.5,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,50,2,Downregulated,2,25,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,50,2,N.S.,4,50,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,50,2,Upregulated,2,25,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,83,3,Downregulated,1,12.5,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,83,3,N.S.,6,75,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,83,3,Upregulated,1,12.5,8,0.9145542722863856,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,"50
vs
33",1,N.S.,4,80,5,1,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,"50
vs
33",1,Upregulated,1,20,5,1,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,"83
vs
33",2,N.S.,5,100,5,1,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,"83
vs
50",3,N.S.,5,100,5,1,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,33,1,Downregulated,1,20,5,0.22673866306684665,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,33,1,N.S.,4,80,5,0.22673866306684665,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,50,2,Downregulated,3,60,5,0.22673866306684665,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,50,2,N.S.,2,40,5,0.22673866306684665,N.S.D.
Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,83,3,N.S.,5,100,5,0.22673866306684665,N.S.D.
